Filename,Transcript
d1215_1-TLI_0,schwiizer da imer düütsch
d1215_1-TLI_10,und münchebuchsee
d1215_1-TLI_100,uusgrabe gsii
d1215_1-TLI_101,s doorf mäin i
d1215_1-TLI_104,wi vil iiwooner hät das doorf
d1215_1-TLI_106,bangerte denn bi zwöihundert
d1215_1-TLI_107,hüt si no öppe hundertfüfzg
d1215_1-TLI_108,isch iren vatter politisch intresiirt gsii
d1215_1-TLI_109,nei nei
d1215_1-TLI_11,aso im bäärnische
d1215_1-TLI_110,er het sich nüüt mit däm beschäftiget
d1215_1-TLI_111,und si sind jaa vo bäärn zruggchoo
d1215_1-TLI_112,und dänn isch iren vater wider ghüroote gsi händ si gsäit
d1215_1-TLI_113,ja
d1215_1-TLI_114,und händ si e guets vehältnis ghaa zur
d1215_1-TLI_115,zu irer nöije mueter
d1215_1-TLI_116,ja
d1215_1-TLI_117,s isch äbe
d1215_1-TLI_118,wi söu i säge
d1215_1-TLI_119,si isch geischtig nid ganz
d1215_1-TLI_12,jaa s isch zwüsche seeland
d1215_1-TLI_120,normaau gsi hä
d1215_1-TLI_121,männgisch isch aus guet ggange
d1215_1-TLI_122,und männgisch wänn si der luune oo het ghaa het si
d1215_1-TLI_123,driigschlage und gschumpfe de ganz taag
d1215_1-TLI_124,mi het eifacht weme heichoo isch het me immer müese zeersch
d1215_1-TLI_125,voorsichtig luege was für wäter isch
d1215_1-TLI_126,ob mer sich daarf inewaage oder nid
d1215_1-TLI_127,drum isch s dänn nächer ou zur scheidig cho
d1215_1-TLI_128,hii und daa wenn si touben isch gsi oder wäge chliinikeit
d1215_1-TLI_129,nid me het no mit houz gfüüret de het s i der chuchi es esoo
d1215_1-TLI_13,mituland ämmitaau si soo zwüsche in
d1215_1-TLI_130,e längi bedelepänngle gha
d1215_1-TLI_131,de het si aube nume son e bedelepännge gnoo und
d1215_1-TLI_132,tätsch mi hei s verwütscht dermit
d1215_1-TLI_133,und händ sii e händ si zu irem vatter gha
d1215_1-TLI_134,ja das isch eigenlech guet gsi
d1215_1-TLI_135,mi het müese schaffe me gschaffet het
d1215_1-TLI_136,so isch das i der oornig gsi
d1215_1-TLI_137,und wäme nid gschaffet het het er
d1215_1-TLI_138,het s halt ou nomaau eis um d oore ggää
d1215_1-TLI_14,ghöört no zum amt froubrunne
d1215_1-TLI_141,ja eifach bim toorfschtäche
d1215_1-TLI_142,und im winter het me dä
d1215_1-TLI_143,i waud müesse
d1215_1-TLI_144,nid wenn si und aso tannen und böim ummache das isch natiirlech no aus vo hand ggange
d1215_1-TLI_145,und di düüren escht di hei si dä chönne
d1215_1-TLI_146,phaute da hei mer aube nach der schueu müese di düüren escht go zämeschleppe
d1215_1-TLI_147,und de uf e chare lade und de het me si heizoge da isch meischtens de scho nacht gsii
d1215_1-TLI_148,weme heicho isch
d1215_1-TLI_149,und deheim het si de der vatter gwedelet und
d1215_1-TLI_15,aber
d1215_1-TLI_150,mit däm het mer gheizt und
d1215_1-TLI_151,choche
d1215_1-TLI_152,wenn händ si
d1215_1-TLI_153,wenn
d1215_1-TLI_155,ja mit schtroom isch no nöd vil loos gsii doozmaal mhm
d1215_1-TLI_156,nei das
d1215_1-TLI_157,der schtroomaaschluss isch gloube im nünzehundertvierzä
d1215_1-TLI_158,isch di gmein im schtroomnez aagschlosse woorde
d1215_1-TLI_16,mini mueter isch nächer gschtoorbe vierzä taag nach miir gebuurt
d1215_1-TLI_160,aber ou überau auso no dii
d1215_1-TLI_161,aute lampe umegschtange
d1215_1-TLI_162,und daa si zeersch der schtroom pher lampe hei müese zale
d1215_1-TLI_163,het s natiirlech nid überau lampe ghaa a teilnen oorte het me
d1215_1-TLI_164,haut mit der petrooulampe no miesse goo
d1215_1-TLI_165,wenn händ si iri leer gmacht ghaa
d1215_1-TLI_166,das isch
d1215_1-TLI_167,im füfedriisg
d1215_1-TLI_168,nei vieredriisg
d1215_1-TLI_169,füfedriisg sächsedriisg in schüpfe
d1215_1-TLI_17,u ne het me mii afe bire naachbari verschtout wo grad es ching
d1215_1-TLI_170,und doo isch no mode gsii das weme d leer gmacht het het mer no bim meischter gwoont
d1215_1-TLI_171,und loon het me kene ghaa
d1215_1-TLI_172,der vater het no müese leergäut zale hundertachzg franke
d1215_1-TLI_173,und loon het me auso kene ghaa
d1215_1-TLI_174,und vo deheim het me nüüt überchoo me het auso ke gäut ghaa
d1215_1-TLI_175,i der ziit
d1215_1-TLI_176,hundertachzg frangge im joor
d1215_1-TLI_177,hundertachzg franke
d1215_1-TLI_178,für di gsamti leer het er müesse zaale
d1215_1-TLI_18,het überchoo
d1215_1-TLI_180,er het
d1215_1-TLI_181,der meischter gsii und zwee leerbuebe
d1215_1-TLI_182,aarbeiter het er kene ghaa
d1215_1-TLI_183,und de hei mer zwee fridhööf müesse machen obezue
d1215_1-TLI_184,dä vo schüpfe u dä vo nöikirch
d1215_1-TLI_185,aber zeersch guet gha
