Filename,Transcript
d1205-T10,ja also nünzähundertdrissg bin i geboorä
d1205-T100,diskutiärt händ dass si s mir das mol chli beschribäd das ich dò mir chan vorschtelä wi das fü si ggsi isch
d1205-T1000,mä hät äinfach
d1205-T1001,öppän uusgrächnät wa män ungefäär bruucht und da hät mä pachän odòr
d1205-T1003,dä vattòr hät dänn müäsä
d1205-T1004,wenn är am mòrgä brot iigschòssä hät
d1205-T1005,wo d s brot zum ofän us gno hät hät är ä ä formular ka
d1205-T1006,won är mit tintä hät mösän usfüllä
d1205-T1007,wiä vill kilo
d1205-T1008,und wiä vill pfündòr danòr usägno hät
d1205-T1009,hät abòr mösä mit tintä
d1205-T101,jò ich cha mich uf all fäll no ärinnärä
d1205-T1010,iigschribä sii
d1205-T1011,wenn s also nüd mit tintän iigschribä ggsi isch fufzg fankä puäss
d1205-T1012,odòr damit mä nöd hät chönä öppis uusradiòrä
d1205-T1013,und dänn wänn aml dää kontrollör cho isch hät är hät är imm da formular mösä
d1205-T1014,vòrlegä wo de mit tintän usgfüllt ggsi isch und denn hät òr s chönän abzellä wiä vill da
d1205-T1015,wiä öb da brot no dò isch
d1205-T1016,mhm
d1205-T1017,also fufzg frankä puäss wenn s nöd mit tintän iigschribä ggsii isch
d1205-T1018,denn isch isch natürli kontrollä kaa odòr und mä
d1205-T1019,wenn no so vill broot dò isch vom aintägigä und vom zwaitägigä gäll
d1205-T102,aso im nünzähundòrtdraiädrissg isch dä hitlòr ad macht cho und dennä
d1205-T1020,und händ si dä sälber i i dä familiä händ dänn au s drüütägigä brot gässä
d1205-T1021,jò immä
d1205-T1022,süscht het da wämmär äis vom zwaitägigä gnò hettäd het jò da gfäält denn het s au puäss gää füüf frankä puäss für jedäs kilo wo nöd dò isch hä
d1205-T1023,das hettäd si jò privat chönä bachä
d1205-T1026,mhm
d1205-T1027,da cha mä hüt
d1205-T1028,di hütig woolschtandsgenärazion cha sich wool dò vo sich illusionä machä jò chli äsoo odòr soo da hät s
d1205-T1029,gaar käin uuswäg ka
d1205-T103,hät är au sini partaitag kaa und sini uftritt
d1205-T1030,di letscht kaloriiä
d1205-T1031,hät mösä berächnät wärdä dass s letschtä schwiizòrmuul
d1205-T1032,di nötigä kaloriiän übòrcho hät
d1205-T1033,dò hät s a
d1205-T1034,das isch ä son ä kontrollsüschtem ggsi dò hät s käi uuswiichä gää
d1205-T1036,wänn nünt me dò ggsi isch hät s äinfach nünt me kaa
d1205-T1037,wä hät zum bischpil
d1205-T1038,öppòr chò isch und hät ggsait
d1205-T1039,odòr hinnän aaklopfät hät mä söttäd no brot ha ond mòr händ kä brot mee hät mòr mösä sägä jò s git erscht mòrn widòr draitägigs mönd gò und wartä bis mòrn
d1205-T104,und
d1205-T1040,da chammòr sich hüt di hütig woolschtandsgänärazion cha sich da nüd vorschtellä wi da ggsii isch damals
d1205-T1041,wi hart da da ggsii isch
d1205-T1042,jò drum chan ich au nüd begriiffä
d1205-T1043,da das
d1205-T1044,fufzg jòòr nòchär da män i dä schwiz cha vorwürf machä
d1205-T1045,mä het no mee flüchtling chönän ufnää erschtäns ämòl
d1205-T1046,hät mä vom vo dä ärnäärig här hät mä nummä mee chönän ufnää s s isch ka gramm me dò ggsi
d1205-T1047,und zu dem härä hät jò dä hitlòr immòr troot wenner also nomee
