Filename,Transcript
d1087_2-TLI_1,de schport oder d kultuur
d1087_2-TLI_10,imme es sind imme nöii choo un
d1087_2-TLI_100,das hämmir zu käntnis gnoo
d1087_2-TLI_101,aber nur nöd d schwiiz gäled si isch en gwüsse
d1087_2-TLI_102,egoismus daa gsi
d1087_2-TLI_103,wo veschtändlich isch
d1087_2-TLI_104,mhm mhm
d1087_2-TLI_105,es si händ gsäit si händ eersch nach em chrieg erfaare
d1087_2-TLI_107,wie und und wänn händ si das erfaare
d1087_2-TLI_108,ja me hät das natülich au erfaare durch d prässe
d1087_2-TLI_109,dänn durch die emigrante
d1087_2-TLI_111,die koomischs
d1087_2-TLI_112,die emigrante wo so im zwäievierzgi dreieviirzig cho sin
d1087_2-TLI_113,die sin nid akzäptiert woorde di hät me nid ärnscht gnoo
d1087_2-TLI_114,dänn das cha gaar nöd sii was die vezeled das isch gaar nö
d1087_2-TLI_115,humbuug die wänd äifach nöd schaffe sind fuuli chäibe
d1087_2-TLI_116,so isch die tendenz gsii
d1087_2-TLI_117,also wi die wo vor em chrieg choo sind
d1087_2-TLI_118,ich ha natülilch vo konzentrazioonslaager erfaare
d1087_2-TLI_119,so im dreievierzgi dur de thoot vo mine schwigereltere nöd
d1087_2-TLI_12,dä jaargang gsii wo äiendlich mit em aktiivdienscht
d1087_2-TLI_121,serwiert woorde
d1087_2-TLI_122,händ iri kameraade vo ine das au erfaare
d1087_2-TLI_123,ja
d1087_2-TLI_125,ich halte esch au hüt nonig fü möglich das so öppis
d1087_2-TLI_126,übehaupt möglich isch i de wält
d1087_2-TLI_127,das halt ich hüt no fü unmöglich das
d1087_2-TLI_128,unbegriiflich fü miich
d1087_2-TLI_129,händ si damaals scho erfaare das
d1087_2-TLI_13,aktiiv nid nid in nid i die
d1087_2-TLI_131,wärend am chrieg hämmir das eerscht eersch vil schpööter de judeschtämpfel zum biischpiil
d1087_2-TLI_132,und soo das hämmer eersch vil schpööter aafaa
d1087_2-TLI_133,händ si s gfüül ghaa das me mee hetti chöne mache
d1087_2-TLI_134,zum das vehindere also
d1087_2-TLI_135,nöd nu d schwiiz sondern au anderi schtaate
d1087_2-TLI_136,dasch e schwääri fraag natüürlich het me chöne
d1087_2-TLI_137,gäled si dä
d1087_2-TLI_138,die die emigrante wo wo vo düütschland gflüchtet sind
d1087_2-TLI_14,senioore gruppe nöd i de täätig gsii isch
d1087_2-TLI_140,schpanie hät sich deete seer guet benoo portugal hät sich guet benoo
d1087_2-TLI_141,aber itaalien isch ja aliiert gsi mit de
d1087_2-TLI_142,wohi hetted die arme chäibe sole gaa nöd
d1087_2-TLI_143,und die baar wo i d schwiiz choo sind die sind daa schigganiert woorde
d1087_2-TLI_144,wänn sii säged si sind nöd ärnscht gnoo woorde vo de vo den anderne
d1087_2-TLI_146,gäled si es isch es schimpfwort gsi
d1087_2-TLI_147,wämmer äine gsäit hät dä daa jaa isch en emigrant
d1087_2-TLI_148,dasch e abfälend e abfälend bemärkig gsii nööd
d1087_2-TLI_15,me händ seer vil schport tribe und
d1087_2-TLI_151,si händ gsäit das si au eersch nach em chrieg erfaare händ
d1087_2-TLI_152,wisoo d schwiiz überläbt hät was händ si daa demit gmäint
d1087_2-TLI_153,ich laufe gfaar mänge
d1087_2-TLI_154,woo irgendwie vor de chopf schtoosse
d1087_2-TLI_155,aber schpööter hät sich s usegschtelt das s kapitaal di banke
d1087_2-TLI_156,mit de miliarde vo gold
d1087_2-TLI_157,i de schwiizer banke vo gläge sind vo de düütsche
d1087_2-TLI_158,und di düütsche und italiäner händ es intresse ghaa
d1087_2-TLI_159,das z schüzen ires gäld wo sii
d1087_2-TLI_16,waffenuusbildig ghaa
d1087_2-TLI_160,us de jüdische us de konzentrazioonslaager
d1087_2-TLI_161,zaagold zum biischpiil das hüt isch das
d1087_2-TLI_162,oportuun hüt wäiss me daas das damaals das ghärscht hät
d1087_2-TLI_163,ich bin echli enttüüscht das ich das de banke z vedanke han äigendlich
d1087_2-TLI_164,miin iisaz min pärsöönlichen iisaz
d1087_2-TLI_165,aber isch sicher au nootwändig gsii und in ornig gsii
d1087_2-TLI_167,es isch maarschiinlich es bizli wuet gsii
d1087_2-TLI_168,mhm
d1087_2-TLI_170,vier föif jaar lang
d1087_2-TLI_172,bin übezüügt devoo dass got behüete
d1087_2-TLI_173,mier wider i son e situazioon chömed
d1087_2-TLI_174,es absoluut nootwändig isch
d1087_2-TLI_175,das mir es militäär händ
d1087_2-TLI_176,also si händ au d si händ de iidruk das d armee mit en grund gsii isch warum
