Filename,Transcript
d1147-T10,ine leer
d1147-T100,hèt
d1147-T1000,ine lokomotiif ine pout
d1147-T1001,ùnd händ chöne vo bade bìs nòch zǜri faare
d1147-T1002,mitere gaasturbiine
d1147-T1003,alerdings nur miteme himeltruurige würkigsgraad aber s ìsch emòl ggange
d1147-T1004,ùnd dän ìsch deet e landesusschtellig ggsii
d1147-T1005,au im säggsedriissgi
d1147-T1006,deet ìsch en eerschti gsch
d1147-T1007,gaasturbiine
d1147-T1008,uusgschtelt woorde
d1147-T1009,ùnd die het in nòijebuurg
d1147-T101,hend si nò gschwüschterti ghaa
d1147-T1010,ìsch die dèn als nootschtroom
d1147-T1011,agregaat iipout worde ùnd eggsischtiirt nò in nòijebuurg
d1147-T1012,das wùnderwèrk das alte
d1147-T1013,funktioniirt immer nò
d1147-T1014,da ìsch schiinbar funktsioniirts nò jò
d1147-T1015,das sìnd öppe so die sache
d1147-T1016,woo
d1147-T1017,ììch erläbt ha
d1147-T1018,aber hèt hèt denn
d1147-T1019,ich waiss nööd vilicht hend si daas gaar nööd gwüsst aber hèt
d1147-T102,ììch ha nò viier schwöschtere ghaa
d1147-T1020,s wèèrch in bade hèt das bezüchige ghaa zu mannhaim oder andere bebebewèrch
d1147-T1021,jò mannhaim hèt immer versuecht brounboweeri in grìff z ǜberchoo
d1147-T1022,hèts ggsait chunt ggaar nicht in fraage nìd
d1147-T1023,mìr süüched dùre
d1147-T1024,ùnd dèn
d1147-T1025,ìsch s au soo use choo dè walter boweri hèt dèn au schwirikaite ghaa
d1147-T1026,er hèt den en aigeni bank grǜndet in zǜri
d1147-T1027,ùnd sini frǜnde händ im deet d aktsie hinterlait
d1147-T1028,damit èr den so vil schtimme gha hèt damits in nìd usegheit händ
d1147-T1029,aber mannhaim isch immer nò im schwiizer psiz ggsii
d1147-T103,zwai oben a mììr ùnd zwai ùnden a mììr
d1147-T1030,nööd
d1147-T1031,isch mannhaim nöd immer nò im schwiizer psiz ggsii
d1147-T1032,das ìsch vo de nazionaalsozialìschte aifacht
d1147-T1033,wì sait mer
d1147-T1034,dän wemer scho öppis
d1147-T1035,konfisziiert
d1147-T1036,ǜbernoo woorde nìd
d1147-T1037,die händ müse nach de maschinegweer vom hitler schaffe gäl
d1147-T1038,das ìsch scho soo
d1147-T1039,hènd si de walter boweeri kent
d1147-T104,aso sind dè
d1147-T1040,jò
d1147-T1041,ùnd vor alem de thedi
d1147-T1042,de thedi boweri
d1147-T1043,de in vo sitte
d1147-T1044,vo de
d1147-T1046,s aluminiumwèrk
d1147-T1049,ùnd dèn sìnd die hère vo schteeg zoberscht de rösslischbild zu brou brounboweeri choo
d1147-T105,fòif chind ggsii
d1147-T1050,mhmh
d1147-T1051,aso de tedi boweri hend si kent
d1147-T1052,de tedi seer guet
d1147-T1053,de ìsch in schteeg sìnd d schtausee loosb
d1147-T1054,sìnd d schtausee loosb lèèr woorde wèrend em aafangs chrieg ùnd mìr händ ka alumiinium mee chöne schmelze
d1147-T1055,ùnd händ ggsait iir münd òis öppis mache
d1147-T1056,damit mììr nìd ùf die kompli ziirti aart münd schtroom erzüge
d1147-T1057,ùnd wèn das aifecht al monet kabut gòòt da ìsch ganz wuurscht
d1147-T1058,aber es mus
d1147-T1059,mus andersch gliichgrichted wèèrde
