Filename,Transcript
d1215_2-TLI_0,u der meischter isch uf ds weloo u der aahänger gnoo und isch
d1215_2-TLI_1,i ds doorf go iichoufen e huufe
d1215_2-TLI_10,mobiiumachigsoort isch bäärn gsii
d1215_2-TLI_100,wo hingerhäärgfaaren isch
d1215_2-TLI_101,u nää het das der houptme gsee und het
d1215_2-TLI_102,toobet das göng nid hä
d1215_2-TLI_103,aber i gseit dä cha guet lache do uf sim güggel obe
d1215_2-TLI_104,und so isch s ggange u nächäär
d1215_2-TLI_105,mir hei glii gmerkt mi hei immer gseit ja mir erreiche muurte nie hä
d1215_2-TLI_106,dasch uusgschlosse
d1215_2-TLI_107,u nächer wo s taget het het s gheisse ja mi müesse aa
d1215_2-TLI_108,maarsch haute ungerwägs
d1215_2-TLI_109,me chön muurte nid erreiche
d1215_2-TLI_110,u näär si mer deert ine ten bereits schtroo schtroo zwäg gmacht gsii
d1215_2-TLI_111,und deert hei mer näär chönne schloofe bis zum zmittaag
d1215_2-TLI_112,u näär het s echli
d1215_2-TLI_113,me hei chuum me chönne schtoo so wi mer
d1215_2-TLI_114,muskelkaater ghaa und blootere
d1215_2-TLI_118,i ha wöle frooge chönd si sich a
d1215_2-TLI_119,a d veräidig erinnere wüssed si no was was de äid gsii isch won wo si gschproche händ
d1215_2-TLI_12,händ si en brief überchoo denn
d1215_2-TLI_120,nei da mag mi nüm erinnere
d1215_2-TLI_121,mir si zhingersch hinger gsii und das isch glouben i es ganzes regimänt gsii
d1215_2-TLI_122,und mi het
d1215_2-TLI_123,nid rächt verschtange was dä gseit het
d1215_2-TLI_124,nume wo s gheisse het mer söu schwööre mit den andere nid d finger uufghaa
d1215_2-TLI_125,und hingerhäär hei gseit si heige nid gseit si schwööre si hei gseit
d1215_2-TLI_126,nume gseit mir höören s
d1215_2-TLI_127,aso si händ en wiz druus gmacht us em us dem äid
d1215_2-TLI_129,aber trozdem isch es ne
d1215_2-TLI_13,nei das isch im wäärde im im raadio hä
d1215_2-TLI_130,ine persöönlich as gfüül ggange di sitwazioon
d1215_2-TLI_131,jaa mi het gwüsst ja jez
d1215_2-TLI_132,jez foort es anders läben aa hä me isch eifacht das us em läbe usegrisse woorde
d1215_2-TLI_133,und
d1215_2-TLI_134,irgenwie het me daas fasch echli begrüesst das me us em autaag usegrisse woorde und plözlech
d1215_2-TLI_135,interessant wird
d1215_2-TLI_136,wi lang sind si denn i murte gsii
d1215_2-TLI_137,nach e parne monet
d1215_2-TLI_138,han i
d1215_2-TLI_139,han i doo no e fuessverlezig ghaa vom
d1215_2-TLI_14,und moorn sig der eerscht mobiilmachigstaag i haa
d1215_2-TLI_140,mi hei viu gfächt ghaa u denn isch me daa dür s
d1215_2-TLI_141,äämdgraas düregmarschiirt wenn s rägewäter isch gsii
d1215_2-TLI_142,i ha immer
d1215_2-TLI_143,zäutplache u näär ds rääf druf oder mit de lafette
d1215_2-TLI_144,und de isch das wasser eim immer daas ä no i d schue abeglüffe
d1215_2-TLI_145,und de het s glii aafoo gluntsche daa
d1215_2-TLI_146,und de het s natiirlech überau blootere ggää und
d1215_2-TLI_147,da het der sanitääter aube pflaschter druuf gmacht
d1215_2-TLI_148,aber das het aube aafaa eitere und zletscht het er gseit ja auso ez chan i nüüt me mache ez muesch zum dokter
d1215_2-TLI_149,u näär bin i zum dokter ggange
d1215_2-TLI_15,am eerschte müesse iirüke
d1215_2-TLI_150,und dä het gseit ja mües i d ämässaa
d1215_2-TLI_151,und nach
d1215_2-TLI_152,und de het mer
d1215_2-TLI_153,d sanitääter hei müesse aus uusschteue
d1215_2-TLI_154,und do isch no gad e
d1215_2-TLI_155,us cho ufezrenne
d1215_2-TLI_156,mer si dert öppe im zwöite schtok obe gsii
d1215_2-TLI_157,und seit eine vo ine sig vormene ross
d1215_2-TLI_158,gschlage woorde er het der fuess proche
d1215_2-TLI_159,und da het der dokter gseit de hout me
d1215_2-TLI_16,und z bäärn han i ja äbe der eutischt brueder het z bäärn gwoont isch denn scho ghüraate gsii
d1215_2-TLI_160,auso i söu ne daa ufebringe
d1215_2-TLI_161,u ne hei di söi mi dä daa uf em rügge do di schtägen uufgschlept
d1215_2-TLI_162,döt ufe mit em prochne fuess und dä het gschtöönt doo
d1215_2-TLI_163,und de het er das züüg aagluegt ner het er gseit jaa
d1215_2-TLI_164,i söu ne i ds schpitaau bringe uf uf muurte
d1215_2-TLI_165,de isch ne wider schtägen abgschlept do
d1215_2-TLI_166,und der ander taag si mir nächer nach cheerzers
d1215_2-TLI_167,mir si nach muurte
d1215_2-TLI_168,nach muurte si mer und iigschtige
d1215_2-TLI_169,mit der baan nach gfaare und deert hei mer e schtung müesse waarte
d1215_2-TLI_17,är är isch bi der aartilerii gsii
d1215_2-TLI_170,und wo mer vor e baanhoof usechöme schteit s fuurgõõ veruss mit däm
d1215_2-TLI_171,maa druffe
d1215_2-TLI_172,nä hei mer der söimer wo bin em isch gsii gfrogt ja werum isch ez dä doo
d1215_2-TLI_173,ja z muurte hei si gseit i döörf kener militäärpassaschiir ufnää
d1215_2-TLI_174,me söu dä mit der baan schpediere
d1215_2-TLI_175,aber jez gäng das ou nid
d1215_2-TLI_176,d baan hegi gseit si töörfi kener traagbäre
d1215_2-TLI_177,ine ine pärsoonewage nää hä
d1215_2-TLI_178,nä heg noo poschtwagen inetue aber deet s
d1215_2-TLI_179,gheisse es töör kener passaschiir i poschtwagen ine
d1215_2-TLI_18,aber er het nid müesse
d1215_2-TLI_180,iz wüss i nid waas mache
d1215_2-TLI_181,iz heg si wider telefoniirt was si iz söu mache
d1215_2-TLI_182,u näär isch de der zuug abgfaare de fuurgõõ isch immer no druffe gsi u dä
d1215_2-TLI_183,dä immer no druf
d1215_2-TLI_186,mir hein iis denn gseit wi wi wiird das gaa wenn s
d1215_2-TLI_187,wüürklech chrieg gääb
d1215_2-TLI_188,bis die mit irer
d1215_2-TLI_189,bürokratii fertig wäär wäär äuwe aui
d1215_2-TLI_19,iirüke wiu är
d1215_2-TLI_190,passiänte gschtoorbe
d1215_2-TLI_191,u näher bin i äbe nach
d1215_2-TLI_192,nach interlagge choo i d ämässaa
d1215_2-TLI_193,wenn isch das gsii
d1215_2-TLI_194,das muess
d1215_2-TLI_195,chönt im dienschtbüechli luege genou
d1215_2-TLI_196,es mues öppe
d1215_2-TLI_197,oktober si gsii oktober novämber
d1215_2-TLI_198,und deet bin i öppe viirzä taag gsii
d1215_2-TLI_199,aso
d1215_2-TLI_2,wil s gheisse het vo moorn aa wäärd razioniirt
d1215_2-TLI_20,ir waffefabrig gschaffet het
d1215_2-TLI_200,aso zwäi monet nach mobilisazioons
d1215_2-TLI_202,wi lang sind sii denn
d1215_2-TLI_203,i de eerschte faase überhaupt im aktivdienscht gsii
d1215_2-TLI_204,zeersch
d1215_2-TLI_205,im aktiivdienscht bin i öppe angerhaubs joor gsii
d1215_2-TLI_206,wenn d d einheit isch entlasse woorde zwüscheine chuurz
d1215_2-TLI_207,hei si immer
d1215_2-TLI_208,truppe gsuecht für d bewachig vom materiaau
d1215_2-TLI_209,und de i mi zu de bewachigstruppe gmäudet
d1215_2-TLI_21,und
d1215_2-TLI_210,esoo das i eigenlech immer bi im dienscht gsi
d1215_2-TLI_211,aso si händ iri schtel uufggää ghaa i dem fall
d1215_2-TLI_212,joo i ha ha
d1215_2-TLI_213,einisch won i uurloub ha ghaa zwe taag
d1215_2-TLI_214,bin i mit em weloo uf gänf abe gfaare und
d1215_2-TLI_215,ha d schteu gchündiget damit si
d1215_2-TLI_216,s zimmer wider chöi bruuche nid das das nid beleit isch
