Filename,Transcript
d1170-T0,das isch es gschprö̀ö̀ch zwüsched de vreeni b*** und em tomas scherer
d1170-T1,am sibzääte januaar im jaar zwäituusig fräu b*** woo sind si gebooren und wän
d1170-T10,u mis mueti het
d1170-T100,si si uf d jungfrou u am dritte taag si si wider ggange
d1170-T1000,dasch eifach jede taag esoo
d1170-T1001,choo
d1170-T1002,de het mer eifach müesse choo was het me süsch mache
d1170-T1003,ja chönne mache
d1170-T1004,jaa s geit na soo
d1170-T1006,mir händs vorher scho churz
d1170-T1007,ghaa vo de noormalisierig nach em chrieg
d1170-T1008,ja
d1170-T1013,wän wän isch es soo wider noormaal gloffe aso mit
d1170-T1016,sibeneviirzg ìsch e gueti sesò̃ò̃ gsìì
d1170-T1017,ja
d1170-T1018,u de sii vil ou choo
d1170-T1019,gäled die hei in england
d1170-T102,z bäärn bini es halbjaar gsìì i der walgass
d1170-T1020,die hei nìd emau rächt die hei mengisch na chinderwäge ghout für heiznää u
d1170-T1021,di si i bi im säggseviirzgi mitere fründin
d1170-T1022,nach england
d1170-T1023,u den
d1170-T1024,aso den hei di beide müettere nìd wölle la gaa aber mir heis eifach
d1170-T1025,düre de het me müesse wiisum haa
d1170-T1026,u de in england hets gheisse
d1170-T1027,striktli bisnesmäther ounli
d1170-T1028,u nächhär irgendwie heimers z stand praacht dasmer hei chö̀nne gaa
d1170-T1029,aber in england het daas uusgsee
d1170-T103,ha e churs ghaa
d1170-T1030,dasch also furchpaar gsìì u s ässe nìd
d1170-T1031,nìd es täfeli nìd es schoggläädli nìd es weggli niggs chönne chouffe
d1170-T1032,gaar nüüt
d1170-T1033,ìsch aus razioniirt gsìì
d1170-T1034,was mäined sii mit uusgsee aso d schtet sind
d1170-T1038,u det um die sanktphoulskatedraale ume ìsch aus
d1170-T1039,läär gsìì
d1170-T104,es halbjaar
d1170-T1040,bodenäbe
d1170-T1041,isch das iri eerschti gröösseri usslandsräis gsii
d1170-T1042,i bi scho maal in england gsìì vor em chrieg oder zwöimaal
d1170-T1043,mh
d1170-T1044,äbe dür dür di englische gescht womer hei ghaa
d1170-T105,wie het das handels u vercheersschuel het das gheisse
d1170-T1050,u nächer simer über belgie heigfaare über ostend
d1170-T1051,u in belgie
d1170-T1052,de hei simer na ines zuugsunnglǜck choo wo de wo si da die säggs schtund iipschlosse gsìì iitem mir si am moorgen am vieri in brüssel aachoo
d1170-T1054,u den ìsch gad märit gsìì die sind die märitwägeli
