Filename,Transcript
d1082_1-TLI_0,an das habe ich noch vergessen zu sagen am anfang
d1082_1-TLI_1,wenn man einfach von ihnen es
d1082_1-TLI_10,was für erinnerungen haben sie an ihre kindheit
d1082_1-TLI_100,und dann eine von den ersten krankenkassen
d1082_1-TLI_101,ist industrie gewesen
d1082_1-TLI_102,das habe ich aber wieder von meinem bekannten gehört vom  robiesler
d1082_1-TLI_103,mh
d1082_1-TLI_104,ja das und auf dem umweg oder ich sagen schleichweg
d1082_1-TLI_105,ist es ihnen dann eventuell gelungen
d1082_1-TLI_106,auch leute aufmerksam zu machen
d1082_1-TLI_107,auf auf die kommunistischen partei und
d1082_1-TLI_108,auch auf die sozialdemokraten
d1082_1-TLI_109,und es hat dann dort auch so natürlich auch so klein nebenbewegungen gegeben
d1082_1-TLI_11,also die erste zeit von meiner kindheit
d1082_1-TLI_110,aber das weiss ich jetzt nicht ja
d1082_1-TLI_111,aber das hat er also gemacht er hat überall für die krankenkasse williert
d1082_1-TLI_112,und er hat auch daheim
d1082_1-TLI_113,also so weit ich es überhaupt noch mitübergekommen habe
d1082_1-TLI_114,sind dumme leute wo ich nicht in ein krankenkassen gehen
d1082_1-TLI_115,ja so in dem stil
d1082_1-TLI_117,sie haben zu wipkingen gewohnt
d1082_1-TLI_12,ist ist eigentlich glücklich gewesen
d1082_1-TLI_120,also es ist so gewesen
d1082_1-TLI_121,also mein vater ist ein mann gewesen
d1082_1-TLI_122,er er hat eine sehr ein grosses freiheitsbewusstsein gehabt
d1082_1-TLI_123,ich also das was ich jetzt sagen
d1082_1-TLI_124,habe ich gefühlsmässig aufgenommen
d1082_1-TLI_125,er ist ja neunzehnhundertsiebenunddreissig gestorben
d1082_1-TLI_126,aber ich hans auch
d1082_1-TLI_127,von meiner schwester und von meinem bruder
d1082_1-TLI_128,er hat nicht wollen neumen zu fest angebunden gewesen
d1082_1-TLI_129,also was er
d1082_1-TLI_13,ich bin aufgehoben gewesen
d1082_1-TLI_130,er hat geschrieben in haftlein und zwar er ist schwingerichter gewesen
d1082_1-TLI_131,dort ringen und schwingen ist dort etwas ganz
d1082_1-TLI_132,wichtiges gewesen in selbiger zeit
d1082_1-TLI_133,und er ist auch so schwingfester gegangen
d1082_1-TLI_134,und hat berichtlich geschrieben über das in zeitungen
d1082_1-TLI_135,ja das weiss ich
d1082_1-TLI_137,also das ist eine vierzimmerwohnung gewesen im
d1082_1-TLI_138,vierten stock
d1082_1-TLI_139,und eines zimmer ist so wie eine bessere abstellkammer gewesen
d1082_1-TLI_14,in einer relativ
d1082_1-TLI_140,und dort hat also meine mutter
d1082_1-TLI_141,und mein vater geschlafen es haben gerade so zwei betten darin platz gehabt
d1082_1-TLI_142,und einen kasten und vielleicht noch ein komoden und
d1082_1-TLI_143,dann haben wir noch zwei zimmer gehabt
d1082_1-TLI_144,in einem zimmer hat dann mein
d1082_1-TLI_145,halbbruder gewohnt und in einem meine halbschwester
d1082_1-TLI_146,und mein bruder und ich mir haben einfach im wohnzimmer geschlafen
d1082_1-TLI_147,also das ist einfach es ist also sehr sehr wenig platz gewesen
d1082_1-TLI_148,und t ich weiss dass mein vater ist sehr viel eigentlich auch
d1082_1-TLI_149,über sein leben verärgert gewesen dass er das nicht weitergebracht hat
d1082_1-TLI_15,grosse unfeld
d1082_1-TLI_150,das mir jetzt da müssen so eingeengt wohnen
d1082_1-TLI_151,hat dann sein lohn gelangt die familie zu ernähren
d1082_1-TLI_152,ja in der ersten zeit hat er
d1082_1-TLI_153,anscheinander noch gelangt soweit ich es kann berurteilen so bis ungefähr
d1082_1-TLI_154,neunzehnhundertdreiunddreissig so aber es ist natürlich schon also
d1082_1-TLI_155,ein äusserste bescheidenheit
d1082_1-TLI_156,mir haben dann hin und dann noch ein zustupf übergekommen von einem anderen brüder
d1082_1-TLI_157,wo dann ist prokurist geworden bei zigarden und
d1082_1-TLI_158,und dann haben wir allmal apfel und erdäpfel eingekellert übergekommen
d1082_1-TLI_159,oder ein ein rostfesslein im keller und
d1082_1-TLI_16,zuerst die ersten zwei jahre in hank
d1082_1-TLI_160,und auch von meiner gotte
d1082_1-TLI_161,da da haben wir immer wieder ein klein etwas so
d1082_1-TLI_162,also für uns fün füsse mein bruder und für mich
d1082_1-TLI_163,irgend so ein kleiner zuschtupf aber was weiss ich nicht
d1082_1-TLI_164,aber meine mutter hat dann gleich angefangen
d1082_1-TLI_165,nein für leute flecken und und putzen
d1082_1-TLI_166,und er ist ja dann auch krank geworden
d1082_1-TLI_167,und dann
d1082_1-TLI_169,auch durch die schicksalsschlag wo er erlitten hat
d1082_1-TLI_17,und dann hat mein vater einen arbeit
d1082_1-TLI_171,und dann ist also letztendlich ist er auch körperlich krank geworden
d1082_1-TLI_172,also das ist so gewesen dass er dann
d1082_1-TLI_173,in seinem zahltagskuverlein innen
d1082_1-TLI_174,immer einen immer wieder ein streifen gehabt hat
d1082_1-TLI_175,wo darauf gestanden ist
d1082_1-TLI_176,wir können ihn das nächste mal bei der auszahlung
d1082_1-TLI_177,nicht garantieren
d1082_1-TLI_178,dass wir einen wieder dann gleichen betrag auszahlen können
d1082_1-TLI_179,es ist nur möglich wenn wir genügend auftragen haben
d1082_1-TLI_18,gefunden in wipkingen
d1082_1-TLI_180,und das hat ein masslos gergert
d1082_1-TLI_181,und über so eine mitteilung abhin ist er dann regelmässig
d1082_1-TLI_182,mit seinen kollegen wo sich auch so geärgert haben
d1082_1-TLI_183,eines restaurant und hat sich dann sehr betrunken
d1082_1-TLI_184,und ist dann betrunken heimgekommen und über das hat sich meine mutter furchtbar
d1082_1-TLI_185,aufgeregt und
d1082_1-TLI_186,er also das ist aber nicht sehr häufig vorgekommen das ist so vielleicht
d1082_1-TLI_187,also alle vierteljahren
d1082_1-TLI_188,also also so ein art ein quartals
d1082_1-TLI_189,trinker ja das hat das früher viel gegeben
d1082_1-TLI_19,und dann sind wir nach wipkingen gezügelt
d1082_1-TLI_190,aber sonst hat er eigentlich
d1082_1-TLI_191,ja er ist sonst gemässigt gewesen mir haben nie darunter gelitten
d1082_1-TLI_192,er ist immer sehr gütig gewesen mit uns
d1082_1-TLI_194,aber es ist natürlich das gewesen also das ist etwas wo ich nicht mehr erlebt habe
d1082_1-TLI_195,wo aber in meiner lebensgeschichte kommt es für ein
d1082_1-TLI_196,also seine erste frau wo er gehabt hat
d1082_1-TLI_197,hat das ist glaub neunzehnhundertfünfundzwanzig gewesen
d1082_1-TLI_198,ist sie wieder schwanger geworden und dann
d1082_1-TLI_199,ist es wie es so üblich gewesen ist in selbiger zeit man hat dann eine abtreibung versucht daheim
d1082_1-TLI_200,und an deren ist sie gestorben und wo er heimgekommen ist ist sie tot gewesen
d1082_1-TLI_201,und sonige schicksal hat es viel gegeben
d1082_1-TLI_202,und das ist aber in der geschichte niener das ist hinter den kulissen
d1082_1-TLI_203,das ist auch jetzt eben das
d1082_1-TLI_204,wo dann alles verschwungen worden ist
d1082_1-TLI_205,und wo ich einmal meine grossmutter gefragt habe
d1082_1-TLI_206,also du ist eigentlich
d1082_1-TLI_207,die erste frau was ist
d1082_1-TLI_208,das habe ich bin ich vielleicht etwa sechsjährig gewesen hat mich
d1082_1-TLI_209,man hat einfach nicht darüber geredet es ist total verschwungen worden
d1082_1-TLI_21,er hat in der escherinweise geschafft alles
d1082_1-TLI_210,und es hat dann geheissen es ist an einer blutvergiftung gestorben was ja gestimmt hat
d1082_1-TLI_211,das ist ja dann eine blutvergiftung gewesen
d1082_1-TLI_212,ja und später habe ich dann das müssen kombinieren oder man hat man das vielleicht auch gesagt
d1082_1-TLI_213,und das ist der grösste schicksalsschlag gewesen wo er erlebt hat
d1082_1-TLI_214,von dort an hat er auch angefangen hin und dann in der restaurant umhinsitzen
d1082_1-TLI_215,und hat auch im restaurant dann meine mutter kennengelernt sie ist serviertochter gewesen
d1082_1-TLI_216,wissen sie noch in welchem
d1082_1-TLI_217,ja im hank in höntge im rebstock
d1082_1-TLI_219,und zwar ist nach kurzer zeit
d1082_1-TLI_22,hilfsmechaniker
d1082_1-TLI_220,ja hat man ist dann gemerkt worden das kommt wieder ein kind auf die welt und das bin ich gewesen
d1082_1-TLI_222,sie ist sie sind sie ist in seine wohnung gezügelt das ist
d1082_1-TLI_223,gewesen das hat glaube untermoos geheissen
d1082_1-TLI_224,das haus ja und dann
d1082_1-TLI_225,ist das so gewesen sie hat sich dann anscheinander sehr gut können umbestellen sie ist
d1082_1-TLI_226,sie ist ja schon dreissig gewesen also schon für die selbe zeit ist das eben schon gewesen
d1082_1-TLI_227,und hat relativ hat sie ein klein erspartes gehabt
d1082_1-TLI_228,und und sie hat sie hat schöne kleider gehabt und nähmaschinen und
d1082_1-TLI_229,sie ist eine sehr eine tüchtige lebenstüchtige person gewesen
d1082_1-TLI_23,und eisenfraser
d1082_1-TLI_230,das wäre so die vorgeschichte
d1082_1-TLI_232,und ja und wie ist das wie ist das weitergegangen
d1082_1-TLI_233,ja dann ist er natürlich eben froh gewesen um die krankenkassen
d1082_1-TLI_234,und es hat aber auch schon eine arbeitslosenklassen hat das auch schon geben
d1082_1-TLI_235,dass man gewisse unterstützungen gehabt hat
d1082_1-TLI_236,und dann ist nochmal ein geschichte
d1082_1-TLI_237,dann sein vater ist gestorben
d1082_1-TLI_238,und hat eine kleines vermögen hinterlassen aber nicht viel
d1082_1-TLI_239,weiss nicht wie viel und dann ist das aufgeteilt worden
d1082_1-TLI_24,und schweisser
d1082_1-TLI_240,unter die fünf geschwister
d1082_1-TLI_241,das ist so ja es ist ein kleines vermögen gewesen
d1082_1-TLI_242,weil weil das elternhaus wo sie gehabt haben
d1082_1-TLI_243,in sternenberg sie sind keine ganz arme leute gewesen
d1082_1-TLI_244,und dann ja und dass
d1082_1-TLI_245,dann ist dort anscheinander auch noch ja es ist auch noch klein etwas gewesen
d1082_1-TLI_246,aber das vermögen hat er dann wieder verloren
d1082_1-TLI_247,und zwar einmal erstens hat er eine bürgschaft geleistet
d1082_1-TLI_248,für einen kollegen und die das hat er dann müssen zahlen
d1082_1-TLI_249,weil der das dann nicht hat können zahlen
d1082_1-TLI_250,ganz genau rechtlich weiss ich das ist einmal einen grund gewesen
d1082_1-TLI_251,und der zweite grund ist gewesen
d1082_1-TLI_252,meine schwester hat mit fünfunddreissig
d1082_1-TLI_253,ein italiener geheiratet
d1082_1-TLI_254,und dann haben das
d1082_1-TLI_255,und sie ist auch italienerin geworden
d1082_1-TLI_256,das ist ein selbiger zeit gewesen
d1082_1-TLI_257,was heisst in selbiger zeit
d1082_1-TLI_259,gewesen neunzehnhundertfünfunddreissig
d1082_1-TLI_26,ist serviertochter gewesen und hat mit dreissig
d1082_1-TLI_261,er käme ein aufgebot über ihn abessinienkrieg
d1082_1-TLI_262,weil viele haben ein aufgebot übergekommen italiener
d1082_1-TLI_263,und dann hat mein vater ihnen das
d1082_1-TLI_264,die einbürgerung gezahlt
d1082_1-TLI_265,und dann ist von dem vermögen natürlich nicht mehr umhin gewesen
d1082_1-TLI_266,also das was in verzählen das
d1082_1-TLI_267,habe ich natürlich immer also gefühlsmässig immer mitübergekommen
d1082_1-TLI_269,und er ist also er ist krank geworden
d1082_1-TLI_27,in als witwer geheiratet
d1082_1-TLI_270,man hat nie recht gewusst was er hat
d1082_1-TLI_271,er ist immer schwächer geworden
d1082_1-TLI_272,er ist ja dann also neunundvierzig fünfzig gewesen
d1082_1-TLI_273,und also
d1082_1-TLI_274,er hat aber
d1082_1-TLI_275,immer wieder
d1082_1-TLI_276,ein klein können
d1082_1-TLI_28,und dann sind noch zwei kinder
d1082_1-TLI_29,das gewesen also mein halbbruder ist schon da gewesen
d1082_1-TLI_30,und meine halbschwester
d1082_1-TLI_31,wir haben alle miteinander
d1082_1-TLI_32,in der gleichen wohnung
d1082_1-TLI_33,dann in wipkingen gewohnt und
d1082_1-TLI_34,früher also in höntg zuerst
d1082_1-TLI_35,wie alt sind da ihre geschwister gewesen
d1082_1-TLI_36,ja meine schwester ist
d1082_1-TLI_37,zwölf gewesen und mein bruder
d1082_1-TLI_38,nein also wo
d1082_1-TLI_39,meine wo sie geheiratet haben
d1082_1-TLI_40,ist meine schwester ja ungefähr
d1082_1-TLI_41,vierzehn gewesen
d1082_1-TLI_42,und mein halbbruder ungefähr siebzehn
d1082_1-TLI_43,und ich habe noch freude gehabt
d1082_1-TLI_44,an mir
d1082_1-TLI_45,und dann ist nach zwei jahre mein
d1082_1-TLI_46,bruder auf die welt gekommen
d1082_1-TLI_47,und das ist dann ein klein viel gewesen weil
d1082_1-TLI_48,mir sind ja beide
d1082_1-TLI_49,gerade unbedingt erwünscht gewesen
d1082_1-TLI_5,läuft
d1082_1-TLI_50,wie das so in selbiger zeit gewesen ist
d1082_1-TLI_51,also mein vater
d1082_1-TLI_52,ist witwer gewesen und
d1082_1-TLI_53,hat dann einfach wieder
d1082_1-TLI_54,ja er ist einsam gewesen
d1082_1-TLI_55,und hat wieder geheiratet auch und
d1082_1-TLI_56,und dann sind nochmal zwei kinder auf die welt gekommen
d1082_1-TLI_57,und es ist eine sehr eine schwere zeit gewesen
d1082_1-TLI_58,wo ich auf die welt gekommen bin
d1082_1-TLI_59,neunzehnhundertneunundzwanzig
d1082_1-TLI_6,ja frau w***
d1082_1-TLI_60,ist ja die
d1082_1-TLI_61,krise gewesen mit dem schwarzen freitag
d1082_1-TLI_62,wo alles zusammengebrochen ist
d1082_1-TLI_63,die ganzen
d1082_1-TLI_64,ich sage jetzt ich hat man früher anders gesagt
d1082_1-TLI_65,und das ist die grosse arbeitslosigkeit
d1082_1-TLI_67,verwandtschaft von vaterseite
d1082_1-TLI_68,bin ich sehr willkommen gewesen und
d1082_1-TLI_69,also meine leitfigur
d1082_1-TLI_7,sie sind am einundzwanzigsten juli neunzehnhundertneunundzwanzig
d1082_1-TLI_70,in meinem leben das ist ja eigentlich meine grossmutter gewesen
d1082_1-TLI_71,sind sie dann auch bei unser
d1082_1-TLI_72,haufend gewesen
d1082_1-TLI_73,ja sie ist haufe auf besuch gekommen
d1082_1-TLI_74,und
d1082_1-TLI_75,mir sind haufe auf besuch gegangen wieder
d1082_1-TLI_76,in höntg bei meiner gotte
d1082_1-TLI_77,und wo ich
d1082_1-TLI_78,wo als kind bin ich sehr viel dort gewesen eigentlich
d1082_1-TLI_79,man kann fast sagen also jeder
d1082_1-TLI_8,auf die welt gekommen und
d1082_1-TLI_80,jeden mittwoch wenn meine frei gehabt hat
d1082_1-TLI_81,ist man ist man dort gewesen
d1082_1-TLI_82,und dann haben wir immer die gespräch
d1082_1-TLI_83,im ohr gehabt über die was politisch so gelaufen ist
d1082_1-TLI_84,und meine grossmutter ist dann allmal auch dort gewesen
d1082_1-TLI_85,und ich meine so ich habe natürlich also mehr gefühlsmässig aufgenommen
d1082_1-TLI_86,und sind auch lieder gesungen worden
d1082_1-TLI_87,mh
d1082_1-TLI_88,also die lieder von der arbeiterbewegung
d1082_1-TLI_89,ist denn ihr vater õngagiert gewesen in den arbeiterbewegung
d1082_1-TLI_9,da in der stadt zürich aufgewachsen
d1082_1-TLI_90,nein er ist nicht engagiert gewesen in den arbeiterbewegung ich weiss nur dass er
d1082_1-TLI_91,das ich habe ja
d1082_1-TLI_92,ich bin ja am anfang von meiner autobiografie und das ist darinnen
d1082_1-TLI_93,er ist nicht engagiert gewesen
d1082_1-TLI_94,aber ich weiss das das für krankenkasse williert haben
d1082_1-TLI_95,dann es ist schwierig gewesen zu selbiger zeit
d1082_1-TLI_96,leute politisch in in bewegungen zu bringen sie haben angst gehabt
