Filename,Transcript
d1195-T0,aber
d1195-T1,also ich bin geboren
d1195-T10,und der onkel ist das gewesen lehrer
d1195-T100,wie hat dann er
d1195-T1000,nein nein den guisan ist gut gewesen
d1195-T1001,wie haben sie dann das kriegsende erlebt den achten mai fünfundvierzig
d1195-T1002,das bin ich da bin ich gerade auf der militärzentraler gewesen zu luzern
d1195-T1003,und
d1195-T1004,da ist die meldung durchhingegangen
d1195-T1005,ende
d1195-T1006,ende krieg
d1195-T1007,gottfriedstutz haben wir freude gehabt dass der zauber fertig gewesen ist
d1195-T1008,ja das ist
d1195-T1009,also wie gesagt
d1195-T101,reagiert wo die deutschen die nazis in deutschland an der macht gewesen sind
d1195-T1010,ich möchte das auch noch abschliessend sagen
d1195-T1011,nicht vom heutigen winkel aus sondern vom hm
d1195-T1012,man muss die zeit hernehmen wo dazumal die alle alle die umständen und die verschiedenen
d1195-T1013,wobei gerade auch die autoritäre erziehung non eine rolle gespielt hat deren
d1195-T1014,das ist wo da die antiautoritäre erziehung gekommen ist ist da dann
d1195-T1015,hat es da umgeschlagen gut ich will heute auch nicht mehr so eine
d1195-T1016,für uns ist die eltern
d1195-T1017,wir haben den vater und die mutter nie mit du angeredet
d1195-T1018,einzige der jüngste bruder der hat
d1195-T1019,die mutter noch mit
d1195-T102,da hat man nichts von dem gewusst dazumal hat man das ist in der der anfangs den dreissiger jahren gewesen
d1195-T1020,du angeredet nachher habe ich gesagt du bist auch noch eine freche kerli
d1195-T1021,könnte ich nicht
d1195-T1022,er ist allerdings
d1195-T1023,er ist ein einundzwanziger gewesen
d1195-T1024,ich ein vierzehner
d1195-T1025,also gemerkt da schon
d1195-T1026,mh
d1195-T1027,nein wir haben also
d1195-T1028,wir haben also und auch die lehrer
d1195-T1029,unser vater ist dann ist
d1195-T103,und die nazis
d1195-T1030,dann ist eine verdingbuben gewesen
d1195-T1031,aber der ist sehr streng gewesen mit uns
d1195-T1032,und er hätte ich es auch gesagt
d1195-T1033,es sollen wir ja eine keiner heim gekommen und schimpft über eine lehrer oder über eine geistlichen
d1195-T1034,da klopf der dann gerade aus und dann hat er dann da ausgeklopft dann hat er
d1195-T1035,das hat also keiner traut irgend über eine lehrer etwas zu sagen wann
d1195-T1036,wenn es auch wenn es auch vielleicht berechtigt gewesen wären he
d1195-T1037,ja
d1195-T1038,das hat es nicht geben das also die
d1195-T1039,autoritäre erziehung hat also eine reisse rolle gespielt
d1195-T104,das ist ja im dreiunddreissig ist der kommen
d1195-T1040,und das hat natürlich im krieg beim hitler
d1195-T1041,ja müsst man vielleicht auch noch klein einziehen
d1195-T1042,die deutschen haben vielleicht durch das auch noch so klein
d1195-T1044,der ist ein autorieben
d1195-T1045,autorität gewesen bei denen klar
d1195-T1046,ja politische
d1195-T1047,und sie haben ja nicht so eine demokraten
d1195-T1048,tradittion also ein demokrativerständnis gehabt
d1195-T1049,nach dem verlorennen ersten weltkrieg
d1195-T1050,ja aber ich kann heute nicht verstehen
d1195-T1051,wir als die die leidtragen wir sind heute die leidtragenden von dem ganzen krieg
d1195-T1052,dass man heute die selbe zeit und die selben leute so schlecht hinstellt
d1195-T1053,das kann ich nicht verstehen wir haben wir haben wirklich
d1195-T1054,wir hätten kämpft für die schweiz man hätte kämpft für die schweiz und wir wären also nicht wir wären also nicht
d1195-T1055,gut es hat schon deren gehabt wo da heil hitler brüllen haben aber
d1195-T1056,das ist ja das ist sicher eine kleine minderheit gewesen
d1195-T1057,wären auch in tod gegangen wenn es gewesen wäre
d1195-T1059,jaja jaja klar klar klar
d1195-T106,und dann ist der professer wo ich gehabt habe ich weiss noch gut wo er im herbst gekommen ist
d1195-T1060,und was durch das auch
d1195-T1061,nein das tut uns also ich habe
d1195-T1062,von denen mit denen eltern leuten wenn man mit ihnen redet das tut man ja jedem weh das sagt das das ist einfach
d1195-T1063,ja was hätten wir sollen machen gottfriedstutz
d1195-T1064,gut wenn wir uns gewehrt hätten wäre er der sowieso gekommen dann wäre er wie man
d1195-T1065,wenn er nicht wenn er nicht ganz schön brav gewesen sind
d1195-T1066,hat er uns dann
d1195-T1067,und dann wären wir dann dann wäre der dann wäre da blut geflossen so ist wenigstens das nicht gewesen
d1195-T1068,gut es hat natürlich
d1195-T1069,leute gehabt
d1195-T107,hat er gerufen heil hitler natürlich
d1195-T1070,wie die juden das ist klar das sind arme keiben gewesen
d1195-T1071,aber sind nicht nur die juden gewesen es hat auch noch andere geben
d1195-T1072,zigeuner und alles möglichen sonst
d1195-T1073,sekten und alles mögliche woher woher auf dem tapet gehabt hat
d1195-T1074,nein das ist
d1195-T1076,also sie für mich sind es zwei zwei
d1195-T1077,sachen wo man müsste berücksichtigen von der selben zeit das ist eben die
d1195-T1078,die selbe zeit nicht in die heutige zeit einstellen sondern in die selbe zeit in
d1195-T1079,in der zeit innen lassen sie und dort anfangen
d1195-T108,was ist das wieder für eine keiben begrüssung da heil hitler was hat was ist mit dem hitler
d1195-T1080,und die verschiedene fasen durchhingehen und sie dann und der lugen
d1195-T1081,warum ist das so gewesen
d1195-T1082,warum ist das so gewesen
d1195-T1084,das haben wir zum teil haben wir gewusst dass da
d1195-T1085,die angst hat natürlich eine riesigen rolle gespielt da muss man schon auch sagen
d1195-T1087,ein ungerechtigkeit dass die jungen heute kommen und sagen ja in der hätten das sollen machen und dieses sollen machen
d1195-T1088,es ist ja wirklich ein existenzfrage ja auch gewesen
d1195-T1089,aber wir hätten kämpft dafür und
d1195-T109,fremder begriff gewesen man hat ja nicht gewusst was das für einer ist he
d1195-T1091,die schweiz ist ja von dort her ja schon ganz anders von der geschichte her
d1195-T1092,die lehrer und die geistlichkeit
d1195-T1093,hat gesagt ja wohl das sei
d1195-T1094,dass du die mutter mit du ahrentsch
d1195-T1095,wir haben sie immer mit ihr immer ihr
d1195-T1096,autoritäre erziehung wie wir sind noch gehabt haben also
d1195-T1097,von dieser hat nämlich noch niemand geredet von der autoritären
d1195-T1098,die verschiedenen fassen wo dazumal geherrscht haben
d1195-T1099,man muss die zeit beurteilen
d1195-T11,und noch wir sind dann noch
d1195-T110,das heisst man hat
d1195-T1100,dann hat er noch eine gewissene religion gehabt
d1195-T1101,negatives gegeit hat das hat gar nicht geben
d1195-T1102,wenn er auch im dreck umhingeschleift wird aber dann ich heute für mich noch ein ideal
d1195-T1103,eine eine nehmen
d1195-T1104,sie hat sie das ist dann abhingeheit der blutdruck ist abhingehabt und so das
d1195-T1105,sie haben wir einmal am morgen eine geben
d1195-T1106,und zu mittag nochmal eine und plötzlich habe ich zu den schwester gesagt sie es hat man einfach
d1195-T1107,wirkt da muss man eine nehmen einem tag
d1195-T1108,kann ich wieder alles essen aber ich an dann einfach zum doktor gesagt losen sie ich nicht mehr die medikamente nicht mehr
d1195-T1109,denen sie wegen einem untersuch und dann bin ich drei woche denen gewesen
d1195-T111,man hat da gehört er lugen dass alle leute arbeit haben
d1195-T1110,und dann hat man nur schmerzmittel
d1195-T1111,leber niere alles urin alles tute konnte
d1195-T1112,man kommt von denen kommt man schmerzen über aber ich hätte gerne eine antischmerzmittel nichts schmerzmittel
d1195-T1113,dann bin ich dort aufhin kommen und dann haben sie mir angefangen medikament geben zeug und sachen
d1195-T1114,nicht etwa vögeln wohl aber ich habe mich auch daran gewohnt
d1195-T1115,und seit da bin ich ein klein gehandikapiert und es nicht mehr so gut gegangen
d1195-T1116,und ich habe gesagt kommt nicht in fragen losen sie herr doktor das kommt nicht in frage das wird ab
d1195-T1117,habe dann ein ganzes jahr ausgesetzt
d1195-T1118,und hat mich da in die schule habe ich auch nicht mehr können
d1195-T1119,und dann hat der doktor gesagt nur unter der bedingung dass die therapie weiter gemacht werden
d1195-T112,und das ist immerhin ein plus gewesen wo man gefunden hat wohl
d1195-T1120,ich habe vom spital in schl sehr ein schlechten eindruck übergekommen dazumal
d1195-T1122,da hat der doktor zum vater gesagt scheint es
d1195-T1123,ein spital aufgebracht mit ross und dem wage der ist auf luzern inhingefahren
d1195-T1124,wo er das zweit mal gekommen ist hat er gesagt ja gibt nichts anderes in spital aufhin
d1195-T1125,und dann
d1195-T1126,und hat man auch kolossal weh getan im rücken im rückenmark hat mir weh getan unheimlich weh
d1195-T1127,keine maul ich bin gelegen wie ein wie er mausack im bett innen
d1195-T1128,und dann hätte ich könnte
d1195-T1129,ja abgesehen von dem mit den kinderleben ich kann man nicht hauptmann werden
d1195-T113,man hat aberwohlverstanden man hat noch nichts gewusst von
d1195-T1130,das ist zwar lustig als buben
d1195-T1131,am besten habe ich können schiessen mit den gasmasken dann habe ich gut geschossen
d1195-T1132,zugedrückt und das hat der he der hauptmann auch gesehen wenn ich zielen habe
d1195-T1133,in dem haden habe ich haben sie mich noch nicht mehr wollen lassen gehen
d1195-T1134,ich habe dann wollen weg vom
d1195-T1135,vom vierzig
d1195-T1136,gelebbrig gewesen ist
d1195-T1137,gestetselt so einen alten alten
d1195-T114,man hat nicht gewusst wie der mensch eigentlich ist dann mein kampf hat er hat man noch nicht könnt
d1195-T1140,da hat noch die autoritäre
