Filename,Transcript
d1082_3-TLI_0,wie
d1082_3-TLI_10,wir verdunkelt nicht das geht nicht
d1082_3-TLI_100,wo nie hat es ist aber nie zum zug gekommen
d1082_3-TLI_102,also ich ich kann es nicht sagen wieso
d1082_3-TLI_103,irgendwie also ist so statt land
d1082_3-TLI_104,das ist etwas gewesen wo
d1082_3-TLI_105,wie ein ein enorme gedränung
d1082_3-TLI_106,hat das stattgefunden
d1082_3-TLI_107,man brauchen obwohl es hat ja viel bauern gehabt
d1082_3-TLI_108,denen die sogenannten rücksäckleinbauern
d1082_3-TLI_109,wo ja auch haben müssen in die stadt gan schaffen
d1082_3-TLI_11,also das machen wir jetzt nicht mit
d1082_3-TLI_110,dass das also das hat man jetzt mein mann verzählt von
d1082_3-TLI_111,von den fabriken wo er geschafft hat
d1082_3-TLI_112,hat hat es ja viel gehabt vom land
d1082_3-TLI_113,wo kommen sind also
d1082_3-TLI_114,und dann und dann irgendwo sogar weit
d1082_3-TLI_115,gelaufen sind also früher ist man ja eben noch gelaufen
d1082_3-TLI_116,bis es wieder haben können neumen auf eine bahn
d1082_3-TLI_117,so sind das am morgen am
d1082_3-TLI_118,fünf daheim fort das das haben können in die fabrik
d1082_3-TLI_119,hat es ja viel gegeben
d1082_3-TLI_12,und im das habe ich aber erst später erfahren
d1082_3-TLI_120,das sind wir ja da so in der
d1082_3-TLI_121,vierzigerjahre zweiten weltkrieg ende
d1082_3-TLI_122,mögen sie sich noch einen achten mai erinnern
d1082_3-TLI_124,am achten mai das ist genau der tag gewesen
d1082_3-TLI_125,wo ich einfachen ein paar tage in meiner lehre gewesen bin
d1082_3-TLI_126,und am achten mai da haben wir dann
d1082_3-TLI_127,das warenhaus geschlossen gehabt
d1082_3-TLI_128,und es ist ein riesenumzug gewesen an der bahnhofstrasse
d1082_3-TLI_129,und ich und dann tschurchill ist kommen
d1082_3-TLI_13,bin zwar nicht sicher ob ich das nicht sonst schon im ohr gehabt habe
d1082_3-TLI_130,und da da ist ein
d1082_3-TLI_131,eine folkloren gewesen
d1082_3-TLI_132,also mit ross und trachten so weit ich mich erinnern
d1082_3-TLI_133,ja das ist also alles gewesen
d1082_3-TLI_134,wo ich wo ich mich mag erinnern
d1082_3-TLI_135,jetzt gibt es eine kolosali wende
d1082_3-TLI_136,und jetzt wird den blick so wieder nach amerika ausgerichtet
d1082_3-TLI_137,das ist so ziemlich alles wo ich mich mag erinnern
d1082_3-TLI_138,und jetzt unbedingt englisch lehren das ist ganz wichtig
d1082_3-TLI_139,und ja so in dem stil ist das gegangen
d1082_3-TLI_14,im ragazinhaus hat man dann allmal müssen gan die glühbirnen ausgeschalten
d1082_3-TLI_140,haben sie auch englisch gelehrt nach nach dem krieg
d1082_3-TLI_141,ja habe sofort angefangen englisch lehren
d1082_3-TLI_142,ich habe ja in der dritten sekundarschule habe in italienisch gelehrt
d1082_3-TLI_143,und dann habe ich aber auch gefunden ich muss sofort englisch lehren
d1082_3-TLI_144,dass ich die engländer kann bedienen wo das gekommen und die amerikaner
d1082_3-TLI_145,und sind dann die auch gekommen
d1082_3-TLI_147,und haben wirklich eingekauft und
d1082_3-TLI_148,da wo ich ja und
d1082_3-TLI_149,haben dann da die st galler stickereien eingekauft
d1082_3-TLI_15,die polizei
d1082_3-TLI_150,und und man haben
d1082_3-TLI_151,man hat gefunden die leute muss man pflegen die haben
d1082_3-TLI_152,ja die das ist wichtig fürs geschäft
d1082_3-TLI_153,und es ist dann auch
d1082_3-TLI_154,sehr wert daraufgelegt worden
d1082_3-TLI_155,also auf
d1082_3-TLI_156,dass man ihnen die schweizerische kultur zeigen also
d1082_3-TLI_157,zum beispiel auch appenzellische kultur
d1082_3-TLI_158,und und
d1082_3-TLI_159,ja das ist gemacht worden dass man denen etwas bietet von der folkloren
d1082_3-TLI_16,und dann sind es auch geschafft worden
d1082_3-TLI_160,also ja nicht sehr aber
d1082_3-TLI_161,doch es ist so gewesen also
d1082_3-TLI_162,es ist wichtig die haben geld und und
d1082_3-TLI_163,ist wichtig dass es wieder kommen
d1082_3-TLI_165,nach dem krieg
d1082_3-TLI_166,wo wo haben sie geschafft
d1082_3-TLI_167,wo haben sie die gemacht
d1082_3-TLI_168,im jelmolein
d1082_3-TLI_17,und dann haben sie dann haben sie es dann einmal aufgegeben
d1082_3-TLI_170,ein sehr ein schöner laden gewesen
d1082_3-TLI_171,und ich bin dort sehr glücklich gewesen
d1082_3-TLI_172,dass ich überhaupt
d1082_3-TLI_173,dort habe können lehren
d1082_3-TLI_174,und das ist sehr gefragt gewesen so eine lehre im jelmolein
d1082_3-TLI_176,und das kann man sich nicht vorstellen was das für einen schönen laden gewesen ist
d1082_3-TLI_177,wir haben holztisch gehabt
