Filename,Transcript
d1170-T0,das ist ein gespräch zwischen der vereine b*** und dem thomas scherrer
d1170-T1,am siebzehnten januar im jahre zweitausend frau b*** wo sind sie geboren und wenn
d1170-T10,und mein mutti hat
d1170-T100,sind sie auf die jungefrau und am dritten tag sind sie wieder gegangen
d1170-T1000,das ist einfach jeden tag so
d1170-T1001,kommen
d1170-T1002,dann hat man einfach müssen kommen was hat man sonst machen
d1170-T1003,ja können machen
d1170-T1004,ja das geht noch so
d1170-T1006,wir haben sie vorher schon kurz
d1170-T1007,gehabt von der normalisierung nach dem krieg
d1170-T1008,ja
d1170-T1013,wann wann ist es so wieder normal gelaufen also mit
d1170-T1016,siebenundvierzig ist eine gute seinen gewesen
d1170-T1017,ja
d1170-T1018,und dann sie viel auch kommen
d1170-T1019,gellen die haben in england
d1170-T102,zu bern bin ich ein halbjahr gewesen in den walgasse
d1170-T1020,die haben nicht einmal recht die haben mängist noch kinderwagen geholt für heimzunehmen und
d1170-T1021,die sich ich bin im sechsundvierzig mit einer freundin
d1170-T1022,nach england
d1170-T1023,und dann
d1170-T1024,also dann haben die beiden müttern nicht wollen lassen gehen aber wir haben sie einfach
d1170-T1025,durchhin dann hat man müssen visum habt
d1170-T1026,und dann in england hat es geheissen
d1170-T1027,stili bis eimeter auch belein
d1170-T1028,und nachher irgendwie haben wir es zu stand gebracht dass wir haben können gehen
d1170-T1029,aber in england hat das ausgesehen
d1170-T103,habe eine kurs gehabt
d1170-T1030,das ist also furchtbar gewesen und das essen nicht
d1170-T1031,nicht ein tafelein nicht ein schocklädlich nicht es wegglein nichts können kaufen
d1170-T1032,gar nichts
d1170-T1033,ist alles rationiert gewesen
d1170-T1034,was meinen sie mit ausgesehen also die städte sind
d1170-T1038,und dort um die sanktpoulskettenralen umhin ist alles
d1170-T1039,leer gewesen
d1170-T104,ein halbjahre
d1170-T1040,bodeneben
d1170-T1041,ist das ihre erste grössere auslandsreise gewesen
d1170-T1042,ich bin schon mal in england gewesen vor dem krieg oder zweimal
d1170-T1043,mh
d1170-T1044,eben der der die englischen gästen wo wir haben gehabt
d1170-T105,wie hat das handels und verkehrsschule hat das geheissen
d1170-T1050,und nachher sind wir über belgien heimgefahren über osten
d1170-T1051,und in belgien
d1170-T1052,dann haben sind wir noch eines zugsunglück kommen wo der wo sie da die sechs stunden eingebeschlossen gewesen item wir sie am morgen am vier in brüssel angekommen
d1170-T1054,und dann ist gerade meritte gewesen die sind die märetwegelein
d1170-T1055,da ist das alles aufgefahren die
d1170-T1056,die haben alles im überfluss gehabt
d1170-T1057,und in england sie die armen teufel gewesen ohne das hat uns dann so
d1170-T1058,mögen
d1170-T1059,ja
d1170-T106,ich weiss auch nicht irgendwie
d1170-T1060,die engländer haben schlimm durchhin müssen
d1170-T1061,aber dann hätte nicht eine hätte irgend etwas
d1170-T1062,verzählt oder oder klagt oder so ohne man hat sie gefragt
