Filename,Transcript
d1138-T10,elis
d1138-T100,und das gemüsein alles selber pflanzen
d1138-T101,aha
d1138-T102,haben sie denn an müssen sachen machen wo vorher ihren mann gemacht hat so auf dem hof
d1138-T103,so und er plötzlich weg gewesen ist sind sie ja dann dann die chefin gewesen
d1138-T104,ja man hat ja überall müssen einspringen
d1138-T105,aha
d1138-T106,können sie da ein beispiel sagen wo zum beispiel
d1138-T107,habe
d1138-T108,also ein beispiel wo wo sie dann haben müsse inspringen oder was sie haben dann
d1138-T109,müssen anders machen
d1138-T110,ja schlimm ist es natürlich gewesen
d1138-T111,wenn man draussen hat müssen schaffen heuen heat und erntet
d1138-T112,und alles noch eigentlich von hand gemacht haben
d1138-T113,mh
d1138-T114,haben sie denn an maschinen gehabt zu deren zeit
d1138-T116,aber ich wüsste das nicht mein was man alles gehabt haben
d1138-T117,aha
d1138-T119,und das hat vorher ihren mann benutzt die maschinen
d1138-T12,ja s*** *** mögen kanton luzern es ist heute
d1138-T120,ja wie meinen sie das
d1138-T121,also wer hat dann zum
d1138-T124,da ist ja wo der krieg da ist ja herbst gewesen oder da hat man nicht mann also
d1138-T125,müssen dessen schaffen
d1138-T126,aha
d1138-T127,aha
d1138-T128,sie sind daten gerade
d1138-T13,mittwoch der neunte dezember und in interview macht dann christof denõ
d1138-T130,aha
d1138-T131,du bist bei kriegsausbruch
d1138-T132,etwa jährig gewesen und der otti etwa fünf wochen alt
d1138-T133,und da haben wir
d1138-T134,das kremermädchen übergekommen vom flielein hindafüren sind wir anfangig froh gewesen dass etwer zu denen
d1138-T135,gibelein gelugt hat
d1138-T136,und da im frühling
d1138-T137,ich weiss es nicht mann ist echt da
d1138-T138,haben sie echt da das weiermattlein treniert
d1138-T139,und haben wir dort oben auch pflanzenbletz gemacht ganz eine grosse
d1138-T14,jetzt frau s*** wenn sie heute also zurück denken auch die zeit so vom vom zweiten weltkrieg
d1138-T140,mh
d1138-T141,und das hat ware geben dort oben also
d1138-T142,ein lied omegemacht
d1138-T143,ein lied ausdräniert
d1138-T145,ist also aussen nicht gewesen
d1138-T146,aha
d1138-T147,und das ist etwa zwanzig minuten ehen wegen gewesen oder
d1138-T148,mum
d1138-T149,dann was haben sie denn denen angepflanzt
d1138-T150,also
d1138-T151,ich glaube erdäpfel haben wir erst dann wieder
d1138-T152,zuerst eben zuerst ende sie hat es geheissen
d1138-T153,das gäbe überhaupt nicht das habe gar keinen sinn dass man das mache ich
d1138-T154,und da hat mein mann erde eingeschickt auf wadaschwiel und gesagt sie sollen
d1138-T155,lugen was man können machen
d1138-T156,da haben sie berichtet man sollen mit gemüsein anfangen
d1138-T157,mh
d1138-T158,und das hat gemues geben dort oben
d1138-T159,mh
d1138-T16,schlimme zeit
d1138-T160,wo wir das erste mal auch sind gan
d1138-T161,gan sagen und setzen
d1138-T162,die schmiediger an da gewesen
d1138-T163,dann sind wir dort aufgeben
d1138-T164,ist etwa zwanzig und wo man oben sind hat es einfach schneie
d1138-T165,mh
d1138-T166,dann haben wir es halt gleich gemacht
d1138-T167,und das hat ware geben also das ist unsinnig gewesen
d1138-T168,und eines jahr haben wir dann erdäpfel gemacht und das hat also haufe geben dort oben
d1138-T169,mh
d1138-T17,ja
d1138-T170,und dann hat das
d1138-T171,am also sagen wer
d1138-T172,bist die
d1138-T173,also haben mich essen
d1138-T175,ein stück land mieten dass sie haben können für die angestellten
d1138-T176,gemues pflanzen
d1138-T177,wir haben in den luzerner neuste nachrichten auch
d1138-T178,dort oben ein bletz geben
d1138-T179,und die hat bohnen gemacht
d1138-T18,da hat
d1138-T180,die haben ein haufen zeug übergekommen
d1138-T181,die geschäfte haben einfach müssen für die angestellten lugen
d1138-T182,und die haben auch manchmal gelugt dass etwer
d1138-T183,dass man leute gehabt hat
d1138-T184,mh
d1138-T185,was haben sie dann mit dem dem gemüses gemacht also haben sie das
d1138-T186,habe
d1138-T188,die hat dann das gemüses irnen leuten
d1138-T189,die die luzerner an
d1138-T19,der mann hat müssen einrücken
d1138-T190,die neuste nachrichten hat dann bletz gemietet gehabt und die haben dann
d1138-T191,für ihre angestellten müssen einen
d1138-T192,pflanzen und die haben sie dann müssen
d1138-T193,haben sie dann könne gan ernen
d1138-T196,ist dann das schwierig gewesen also hat sie dann zu wenig
d1138-T198,zu wenig zu essen
d1138-T199,man hat ja
d1138-T20,und dann charles hat müssen einrücken
d1138-T200,es ist vorgeschrieben gewesen glaube ich alle
d1138-T201,aber man hat müssen ja notvorricht
d1138-T203,und das ist die haben ja man immer wieder bevolein was meinen
d1138-T204,und hat ja jede selber können lugen was er
d1138-T205,beim erst mal hat man zum beispiel kaffee oder
d1138-T206,ich wei nicht was ganze haufen vorricht haben wir allweg da im estrich oben gehabt nicht
d1138-T207,und dann kaffee haben wir gerichten eingekauft und haben neben den selber gerüstet
d1138-T208,mh
d1138-T209,weil dann besser gelungen ist weder wenden nein
d1138-T21,beide russen haben müssen gehen
d1138-T210,mh
d1138-T211,schon gekauft hast
d1138-T212,und das weiss es nicht man nachher was ich
d1138-T213,aha aber ist dann das für
d1138-T214,fi also sie haben gesagt eben die leute die haben es ist schwierig gewesen für die zum zum essen kommen also weil das weil das
d1138-T215,nicht so viel gemues gen hat
d1138-T217,momoll mer
d1138-T218,bauerben in den bauren ist eigentlich so weit gut gegangen
d1138-T219,wollt haben es ja selber gehabt oder
d1138-T22,und mit ame wagen
d1138-T220,und zum
d1138-T221,die heiener sind sie denn gekommen zählen und die sehen
d1138-T222,dann hast nicht dürfen einen
d1138-T223,ja hat ja schon deren geben wo heuenner gehabt haben nicht schwarze eier gelegt haben aber habe habe
d1138-T225,aber dann bauere ist ich nie so weit ja nicht schlecht
d1138-T226,aha
d1138-T227,gegangen weil es ja die vorricht
d1138-T228,und wenn es immer
d1138-T229,frucht haben können abgeben so haben sie auch mehl können zurück nehmen
d1138-T23,und die haben das also die haben das kann
d1138-T231,nein nein sie
d1138-T232,sie haben dann
d1138-T233,hat einen zuteilung übergekommen
d1138-T234,mh
d1138-T235,bin ja gar nicht
d1138-T236,aber wie meinen sie das
d1138-T237,die heiener haben schwarze einer gelegt
d1138-T239,weil es seren gehabt hat wo nicht abgeben haben
d1138-T24,bin nicht ganz sicher aber ich glaube der hat müssen in
d1138-T240,aha
d1138-T243,deren hat es schon geben
d1138-T244,aha
d1138-T245,dann hat das amigs geheissen die habe
d1138-T246,aha
d1138-T248,aha
d1138-T249,und dann also hat dann da ist dann da irgendwie dann allweg die polizei gekommen oder hat das etwer kontrolliert
d1138-T25,in das aargau abe  haben die müssen  stroh presse
d1138-T251,immer wieder eine kontrolle gewesen und wenn man
d1138-T252,eben angestellte am tisch gehabt hat dann hat man auch nie getraut irgendetwas
d1138-T253,mh
d1138-T254,haben daduren zu machen wo
d1138-T255,man hat das einfach mit dem zu bringen wo man gehabt hat
d1138-T256,aha
d1138-T257,was ist dann wenn wenn da etwer verwischt worden ist was ist denn da
d1138-T259,aha habe
d1138-T26,mh
d1138-T260,aber wenn man das angestellte gehabt hat hat man das nicht können
d1138-T261,mh
d1138-T262,aber sind dann allweg die leute so aus der stadt auch zu einer
d1138-T264,wo mit amen mouchgötterle gekommen sind am ein
d1138-T265,etwann amenen sonntag oder kommen zu viere nehmen
d1138-T266,mh
d1138-T267,daheim entlastet gewesen sehen he
d1138-T268,mhm mhm
d1138-T269,wie ist denn das gewesen so
d1138-T27,wo er noch er ist voll dort unten gewesen
d1138-T270,also wenn ihren mann retor gekommen ist
d1138-T271,ist denn da also dann dann ist ja nicht die ganze
d1138-T273,sicher
d1138-T274,hat dann dann dann dann hat er hat dann einfach das halb jahre da geschafft und ist der rest im im dienst gewesen oder wie ist denn das
d1138-T277,verzählt das von dem urlaub
d1138-T278,habe
d1138-T279,sie können ja das auseschneiden oder nachher
d1138-T28,wo er nachher da
d1138-T280,ja
d1138-T281,verzählt das von dem urlaub
d1138-T282,wo er heim hat wollen kommen heben
d1138-T283,haben ja einest ist es gewesen der ist so lange wuest wetter gewesen
d1138-T284,mh
d1138-T285,dann nachher hat den radio gut wetter gemeldet
d1138-T286,und dann hat er auch eingeben wäre auch zeit gewesen zum heuen
d1138-T287,hat er auch
d1138-T289,haben sie auch nur
d1138-T29,bin seineren beim siebezig ist er gewesen in der einheit
d1138-T290,sie haben ja auch ein kontingent gehabt sie haben nur die gewissnen lassen gehen
d1138-T292,und dann haben sie
d1138-T293,aber alle retorgefragt
d1138-T294,bin jedem
d1138-T295,ob das nötig sei es dann haben komme
d1138-T296,mh
d1138-T297,und da ist hat es aus amigs gebracht
d1138-T298,dass
d1138-T299,dass er nicht mann hat können kommen
d1138-T300,und haben das auch
d1138-T301,in der nacht haben sie doch überall haben sie im
d1138-T302,bin alle nachgefragt
d1138-T303,und da ist eine dabei gewesen dann hat angegeben er müsse es heim gan heben und dabei ist er auch
d1138-T304,einen hasenbauer gewesen habe
d1138-T305,aha
d1138-T306,dann sind sie im in der nacht
d1138-T307,gan riefe er könne haben
d1138-T308,und dann ist er am morgen ist er echzeit schon gekommen
d1138-T309,und da hat dann
d1138-T31,was haben sie dann gemacht nachher also was ist dann anders gewesen wo die nicht auch da gewesen sind
d1138-T310,dann maler hat gesagt da wird gemeint
d1138-T311,dann landknecht hat gesagt dort wird gemeint un den am grossvater haben das es sowieso nicht glaubt
d1138-T312,und da kann er heim und jetzt sagen sagt er
d1138-T314,und haben das ganz einholz alles
d1138-T315,abgehauen und gehiet und leute haben wir übergekommen
d1138-T316,also wo sind gekommen haufen also die haben òu gewesen dass nichtig es ist
d1138-T317,sind gekommen haufen und haben in denen
d1138-T318,vier fünf tage wo er urlaub gehabt hat es ganz einholz inagehiat
d1138-T319,aha
d1138-T32,ja da
d1138-T321,hätten sie man sowieso nicht glaubt
d1138-T323,der s*** ist auch ganz auch gute male gewesen aber ann eingewilligen
d1138-T324,aha
d1138-T325,und dann hat haben sie auch noch selber müssen ausmachen weder miteinander
d1138-T326,mh
d1138-T327,haben sie dann allweg auch
d1138-T328,brief geschrieben mit mit ihrem mann
d1138-T33,wann haben auch gute maler gehabt und eine gute landknecht
d1138-T330,haben sie ein telefon gehabt
d1138-T331,ja ja telefon haben wir gehabt
d1138-T332,also da bei sich im haus
d1138-T334,aha was hat er dann allweg so verzählt vom militär oder hat er überhaupt etwas verzählt
d1138-T335,ja
d1138-T336,denen ist nicht so schlecht gegangen
d1138-T337,dort er ist beim siebezig gewesen zuerst
d1138-T338,und die sind volle da beim aargau unten gewesen oder im aatal unten
d1138-T339,und die die haben das
d1138-T34,und die haben schon zum zeug gelugen für das hat man können dankbar sein
d1138-T340,die haben das gar nicht so streng gehabt die haben einfach müssen dort sein
d1138-T341,nachher ist er dann später ist er bin aren anderen einheit gewesen da ist er
d1138-T342,sargans oder weiss ich dort aussen an einen ort gekommen
d1138-T343,mh
d1138-T344,nachher ist ja dann so gewesen dass das ja dann
d1138-T345,so die armee zurück gegangen ist in das reduit also da ich
d1138-T346,in die in die innerschweiz haben sie das nachher gemerkt also hat das doch einen haufen soldaten an sonst umeinander
d1138-T348,vom militär dann
d1138-T349,in unserer stoben oben haben wir einest also vier oder sechs
d1138-T35,ja aber hat einem auch viel mehr arbett bracht oder
d1138-T350,vonneren einheit dann
d1138-T351,haben da oben übernachtet
d1138-T352,mh
d1138-T353,ich weiss es nicht auch
d1138-T354,mh
d1138-T355,was sind denn das für leute gewesen wo sind denn die her gekommen
d1138-T356,wein nicht mein was das für nen einheit gewesen ist wo da oben gewesen sind aber da enen sind die rösser gewesen und
d1138-T357,und gerade zwar am schon gleich am anfang sind das
d1138-T358,aha dann haben sie für die a noch müssen kochen oder
d1138-T359,nein nein nein nein die sind militärisch
d1138-T36,mh
d1138-T361,die haben einfach da gewohnt
d1138-T362,ja die haben auch im
d1138-T363,ich weiss nicht was sie allen alles haben müssen machen nicht so viel meiner hand das strenger gehabt
d1138-T364,aha habe
d1138-T365,was haben sie senn allweg gemacht nach dem schaffen am abend
d1138-T366,ja da ist mängist noch ganz
d1138-T367,habe habe
d1138-T368,gemietlich gewesen mann haben da
d1138-T369,wann haben da ne terofen inhingetan
d1138-T37,ein mann hat eben auch noch holf übergekommen
d1138-T370,wann haben voranen schon einen gehabt und dann wo wo es ein klein brenzlig geworden ist da hat er auch neue teroffe gekauft
d1138-T371,dann haben wir auch tert
d1138-T372,am oben nach dem zu nacht
