Filename,Transcript
d1295-T10,verzählen wann und wo sie geboren und aufgewachsen sind bitte
d1295-T1001,die leute gar nicht so gepflegt haben dass sie sie einfach
d1295-T1002,eher haben lassen sterben oder ich kann wir es nicht anders vorstellen
d1295-T1004,man haben das dort mängist miteinander gesagt das ist
d1295-T1006,das ist in jedem wagen ihnen das gleichen gewesen
d1295-T1007,man haben auch dort keine todesfall gehabt nichts
d1295-T1008,aber bei den anderen also sind sie sind sehr schwere sachen
d1295-T1009,gewesen mängist zum
d1295-T101,und
d1295-T1011,was haben sie empfunden
d1295-T1012,bei denen transporte
d1295-T1013,wo sie die leute transportiert haben
d1295-T1014,sie haben ja vor dem interview gesagt dass
d1295-T1015,sich auch so klein gedanken das das haben sie auch in zusammenhang brot
d1295-T1016,mit deren ganzen kriegspropaganda und so
d1295-T1018,es hat einem natürlich enorm mitgenommen
d1295-T1019,speziell weil die leute sie haben ja
d1295-T102,wo der bapa dann heim gefahren ist mit uns dann
d1295-T1020,auch lange vielleicht auch keine frauen mann gesehen oder so
d1295-T1021,und dann haben sie sich mängist so aufen und einem etwas verzählt
d1295-T1022,irgendwie
d1295-T1023,mir einest einer ein fotos gezeigt und hat gesagt
d1295-T1024,ob ich glaube ich seine brut habe gewartet auf dann
d1295-T1025,wissen sie dann sind dann die menschlichen sachen so für ein kommen
d1295-T1026,und dann ist natürlich nicht nur einen
d1295-T1027,pflegefall gewesen
d1295-T1028,in so einem moment dann gekonnt gekonnt auch
d1295-T1029,bei ihren pflegenden person einfach der mensch fürhin
d1295-T103,habe ich gehört wie es daheim diskutiert haben
d1295-T1030,und das nimmt einem das tut einem dann sehr beanspruchen seelisch
d1295-T1031,es ist nicht nume auch körperliche anstrengung gewesen die
d1295-T1032,die transporte sondern es hat einem eben seelisch auch sehr mitgenommen
d1295-T1033,will dann eben so so ganz persönliche sachen
d1295-T1034,darin ihnen gekommen sind von denen leuten wie man gesehen hat
d1295-T1035,wie die leiden
d1295-T1036,wie sie in einer angst sind was triff ich an
d1295-T1038,habe ich noch ein haus wenn ich heim komme
d1295-T1039,ist die familie noch da sie haben ja meistens nichts gewusst
d1295-T104,über das und wie sie erschrocken sind über die ganze
d1295-T1041,ich habe ihnen ja gesagt gehabt dort wo sie haben wollen
d1295-T1042,wo wir dann gefangenen die adresse hat wollen
d1295-T1043,zu riefen ich
d1295-T1044,hat nummer den namen können riefen und das anderen
d1295-T1045,ist geschossen worden also man hat müssen dass er hat müssen sofort
d1295-T1046,ehen wegen und und ich eben auch
d1295-T1047,und die sind also
d1295-T1048,ohne nachricht ohne irgend etwas gewesen
d1295-T1049,und dann ist eben die sind natürlich bei einer frau gekonnt das ja vielleicht
d1295-T105,über das ganze
d1295-T1050,noch viel mehr wie dann einfach denen die
d1295-T1051,das mitleid und alles gekonnt also ich habe
d1295-T1052,ziemlich gelitten
d1295-T1053,unter auch und mitgelitten mit denen leute
d1295-T1054,mit denen patienten
d1295-T1056,und wie ist denn das gewesen also wenn sie
d1295-T1057,in was für einem zustand sind so zu sagen die deutschen gewesen
d1295-T1058,auch eben besuchisch seelisch
d1295-T1059,und die alliierten hat es da n unterschied geben für sie
d1295-T106,was da passiert ist
d1295-T1060,die alliierten haben sich gefreut
d1295-T1061,dass sie haben können heim
