Filename,Transcript
d1261-T0,frau g*** wie haben sie als junges mädchen dann kriegsausbruch erlebt
d1261-T1,also dann ausbruch ist für mich wie ein schlag gewesen in eine heimlich welt
d1261-T10,ich glaube in der innerschweiz sind wir da viele mehr
d1261-T1000,weder dass sie vielleicht
d1261-T1001,normal gedacht haben oder ein anderen religion gehabt haben
d1261-T1003,das habe ich nie begriffen
d1261-T1004,aber die sachen haben sie nicht aus der zeitung oder vom radio vernommen sondern nur aus mündlichen
d1261-T1007,von in der zeitung schon etwa
d1261-T1008,dann wir haben da gehabt den felber
d1261-T1009,den redakteur von den lnl da
d1261-T101,das ist voranhin für mich überhaupt kein begriff gewesen flüchtlinge
d1261-T1010,der hat auch noch glaub ich so viel dass er hat können geschrieben
d1261-T1012,und eben in der zürichzeitung und mängist sind die zeitungen
d1261-T1013,beschlagnahmt worden wenn es eine klein zu deutlich geschrieben haben
d1261-T1015,mein vater ist immer am sonntag abend
d1261-T1017,die zürichzeitung gan holen an kiosk
d1261-T1018,und mängist hat es dann geheissen beschlagnahmt oder zensuriert dann hat man sie nicht übergekommen
d1261-T102,und dann das hat man filme gehört
d1261-T1022,das hat dann schon noch journalisten gegeben wo dann recht deutlich geschrieben haben
d1261-T1024,und
d1261-T1025,von wem von irgend von einem bundesrat hat er immer geredet
d1261-T1026,oder kwisling ist zum beispiel für mich eine begriff gewesen kwisling
d1261-T1027,der norweger wo verraten hat
d1261-T1029,von welchem bundesrat hat er
d1261-T103,marie louise die letzte chance
d1261-T1031,zu anpasserisch gewesen
d1261-T1032,der etter der hat er ich meine
d1261-T1034,wir sind aus einer liberalen familie gewesen und so
d1261-T1035,und dann general guisan das ist für mich eine begriff gewesen
d1261-T1036,und auch und wenn etwa
d1261-T1038,einmal ist es defilee gewesen zu luzern
d1261-T1039,und wir haben schöne rosen gehabt im garten
d1261-T104,meine eltern sind mal auf zürich sind in cabarett gewesen das cornichon
d1261-T1040,und ich weiss noch man haben dürfen es sind hochstammrosen gewesen
d1261-T1042,wir haben dürfen alle zusammen abschneiden und ihm dann der strauss gan bringen
d1261-T1045,ist ist mit dabei gewesen
d1261-T1047,das ist natürlich oder auch die film die letzte chance marie louise und
d1261-T1048,aber dann guisan
d1261-T105,man hat einfach
d1261-T1053,nur kurz das ist nur kurz gewesen
d1261-T1055,und dort sind sie mit der schulklasse hingegangen oder
d1261-T1058,ja und meine meine mutter ist mitgekommen
d1261-T106,unser milcher hat in dienst müssen das hat ablöser gegeben die rösser haben sie eingezogen
d1261-T1061,und sie hat dann uns gesagt ihr dürft blumen mitnehmen
d1261-T1062,was ist das für ein moment gewesen
d1261-T1063,ja dann ich habe gewusst
d1261-T1064,der general guisan der schützt uns
d1261-T1066,viele haben davon geredet von denen drei finger
d1261-T1067,wo man gesehen habe vom bruder klaus am himmel
d1261-T1068,und das ist sicher
d1261-T1069,der hat schon mitgeholfen ich meine der chrieriseppli und er sind ja
d1261-T107,die auto haben nicht mehr dürfen fahren und die wenigen
d1261-T1071,gewesen dort aber der general guisan ist noch mehr gewesen
d1261-T1072,das ist für mich einfach der begriff
d1261-T1073,und ihr vater
d1261-T1076,bei der post bei der post ja
d1261-T1077,wobei das ist für mich nicht minderwertig gewesen oder
d1261-T1078,er hat seine stelle gehabt wo man ihn gebraucht hat
d1261-T1079,und für ihn selber auch nicht
d1261-T108,wo eines gehabt haben haben holzvergaser daran gehabt
d1261-T1082,er ist hat dann einfach gewusst ich leiste meinen dienst auf die art
d1261-T1084,das ist das ist auch etwas gewesen
d1261-T1086,und alle unsere verwandten sind natürlich eingerückt
d1261-T1087,und eben seine schwester in der msa
d1261-T1088,man ist viel mehr verbunden gewesen glaub ich so
d1261-T1089,eine eine clan man hat man haben zusammengehabt
d1261-T109,wobei mein onkel hat noch benzin gehabt und hat ihn einmal verloren
d1261-T1092,man hat zusammengehabt das schon viel mehr
d1261-T1094,und rationierungskarten ist auch so ein sache gewesen
d1261-T1095,dann hat man müssen im kunsthaus unten jeden monat gan lebensmittelkarte holen
d1261-T1096,und
d1261-T1097,dort ist hat es dann auslandschweizer gehabt wo die schalter bedient haben
d1261-T1098,das weiss ich noch weil die haben sprachen können
d1261-T11,und dann haben alle leute davon geredet man hat von einrücken geredet
d1261-T110,und ist dann schutz aufgefahren und dann vergaser ist unten geblieben
d1261-T1100,und irgendwie das ist ja ein arbeit gewesen wo nur durch eine krieg
d1261-T1101,zu stand gekommen ist und die hat man dann dort beschäftigt
d1261-T1106,natürlich wo
d1261-T1108,ich glaub das ist gerade eine übertragung gewesen von einem festwochenkonzert mit dem toscanini
d1261-T1109,wo unterbrochen worden ist es sei mobilmachung dann krieg
d1261-T111,das ist das ist natürlich
d1261-T1111,also der krieg käme und dann hat es natürlich keine konzerte mehr gegeben im kunsthaus
d1261-T1113,und dort sind dann die lebensmittelkarten ausgegeben worden
d1261-T1115,und das ist eine direktübertragung gewesen
d1261-T1119,und wir haben eben so das kleine kistlein gehabt
d1261-T1120,und auch der toscanini
d1261-T1121,ich weiss nicht ist er
d1261-T1125,das wüsste ich nicht
d1261-T1126,aber so himmler hainrich und
d1261-T1127,alle die namen das ist für mich ein begriff gewesen
d1261-T1128,das hat man natürlich und dann sind sehr viel die schauspieler jüdische schauspieler
d1261-T113,und auf jeden fall hat es dann mal geheissen
d1261-T1136,der drand und und zu zürich
d1261-T1138,sind sie dann auch ins theater gegangen
d1261-T1139,wenig aber meine eltern sind immer gegangen auch etwa ein mal auf zürich
d1261-T1141,und die film eben letzte chance marie louise
d1261-T1142,und als kinder ist man natürlich viel
d1261-T1143,wird man viel mehr von so etwas beeindruckt
d1261-T1145,und eben die ungerechtigkeit das habe ich nicht begriffen
d1261-T1147,wie ist dann in der schule
d1261-T1148,nein man hat einfach gewusst es hat ein haufen flüchtlinge
d1261-T115,garten müsste man
d1261-T1150,die leute haben nichts und wir haben wir sind gan abzeichen verkaufen
d1261-T1153,für das rotee kreuz es hat so kleinen
d1261-T1155,eben die tässlein gegeben
d1261-T1156,oder man hat man hat
d1261-T1158,brotmarken ja die hat man nie können abgeben
d1261-T1160,aber fleischmärklein wer zu viel märklein gehabt hat hat die abgegeben
d1261-T1162,für leute wo dann zu wenig gehabt haben
d1261-T1164,und eben man hat aus dem eigenen garten gelebt
d1261-T1166,erdäpfel rund um die ur und sojabohnen so rüblein und so
d1261-T1168,und überall hat es sprüche gehabt wer nicht schweigt schadet der heimat
d1261-T117,mein vater hat da schon sojabohnen gepflanzt
d1261-T1170,und wie ist das gewesen mit dem geschichtsunterricht dann in dann schule
d1261-T1171,hat man da nicht eine klein die aktuelle lage auch durchgenommen
d1261-T1173,nein also bei kriegsausbruch sind wir noch bei den pfahlbauer gewesen
d1261-T1174,das ist und viel leute haben eben
d1261-T1176,angst gehabt zu viel zu sagen
d1261-T1178,oder man hat immer man hat nicht gewusst
d1261-T1179,man hat gewusst es hat spitzel umhin
d1261-T118,weil man gewusst hat sonja ist es gutes nahrungsmittel oder
d1261-T1180,es hat leute umhin wo natürlich beeindruckt gewesen sind von dem schneid von deutschland
d1261-T1182,haben sie auch gewusst wer das ist wo da ein klein sympathisiert
d1261-T1183,nein man hat
d1261-T1185,nein als kinder nicht möglicherweise meine eltern
d1261-T1186,denn man hat es ja aus dann gespräch gehört
d1261-T1187,oder die hamsterer von dem hat man natürlich gehört
d1261-T1189,die leute wo dann wo genug geld gehabt haben
d1261-T1191,oder man hat lohnabbau gehabt bei der post
d1261-T1192,hat es lohnabbau gegeben und dann hat es
d1261-T1194,für ich glaube das wehropfer oder wie das wie das irgendwie geheissen hat
d1261-T1196,das ist ja dann geblieben als wehrsteuer wehrsteuer
d1261-T1197,und die wo genug geld gehabt haben haben können hanstern
d1261-T1198,die sind gan einkaufen
d1261-T1199,und haben dann gell die frau oben an uns die hat in ihrem
d1261-T12,die leute haben müssen die männer haben müssen in dienst
d1261-T1201,gang hat eine lange korridor gehabt
d1261-T1202,hat die eisenbahn scheinen
d1261-T1204,so metallschienen von hinten bis vorne
d1261-T1205,und bis zu oberst unter die diele aufhin
d1261-T1206,lebensmittel obwohl sie nach dem krieg hat müssen
d1261-T1208,säcke weise lebendes mehl weg gheien und so
d1261-T1210,gegeben hat sie nichts die hat nur mit uns
d1261-T1212,brotmärklein gegen fleischmärklein getauscht
d1261-T1213,also sie haben ihr brotmärklein
d1261-T1215,ah ja
d1261-T1218,aber wie sind dann die an die lebensmittel herangekommen
d1261-T1219,schwarz weil sie genug gezahlt haben
d1261-T1221,im freiburgischen ist doch da so
d1261-T1222,sind doch so schwarzemetzger und alles gewesen glaub romand oder dort oben
d1261-T1226,die haben natürlich schon können dort aufhinfahren
d1261-T1227,und gan einkaufen
d1261-T1228,und im gleichen haus ist noch eine süddeutsche frau verheiratet gewesen
d1261-T123,da wo wir jetzt gerade wohnen sind alles pflanzengarten gewesen
